username,created,posts,followers,url
DavidDeutschOxf,2012-09-23,37692,173319,https://x.com/DavidDeutschOxf
ID_AA_Carmack,2010-08-07,18199,3801490,https://x.com/ID_AA_Carmack
dril,2008-09-15,14622,1685786,https://x.com/dril
tszzl,2013-05-26,68708,473440,https://x.com/tszzl
growing_daniel,2021-11-08,59648,438761,https://x.com/growing_daniel
viemccoy,2015-04-17,32318,21991,https://x.com/viemccoy
airkatakana,2015-03-30,24490,35913,https://x.com/airkatakana
visakanv,2008-10-21,275603,258503,https://x.com/visakanv
eigenrobot,2013-07-11,350699,195703,https://x.com/eigenrobot
melissa,2008-02-26,4669,39086,https://x.com/melissa
yacineMTB,2019-09-16,170427,389390,https://x.com/yacineMTB
spicey_lemonade,2021-06-25,1426,2002,https://x.com/spicey_lemonade
slatestarcodex,2013-06-18,4263,166766,https://x.com/slatestarcodex
tenobrus,2017-07-11,49479,35760,https://x.com/tenobrus
_xjdr,2023-12-03,7864,29344,https://x.com/_xjdr
goodside,2008-09-30,4915,224044,https://x.com/goodside
karpathy,2009-04-21,10143,4000736,https://x.com/karpathy
gwern,2008-11-27,32690,77992,https://x.com/gwern
__tinygrad__,2023-06-28,4884,81786,https://x.com/__tinygrad__
cloud11665,2017-07-28,4280,16396,https://x.com/cloud11665
samswoora,2021-12-11,44473,20549,https://x.com/samswoora
gabriel1,2019-03-02,7620,121494,https://x.com/gabriel1
attentionmech,2024-12-02,2695,13435,https://x.com/attentionmech
Sauers_,2024-03-02,20655,14738,https://x.com/Sauers_
DefenderOfBasic,2023-07-17,55318,16454,https://x.com/DefenderOfBasic
_Mira___Mira_,2023-02-19,9800,10532,https://x.com/_Mira___Mira_
beffjezos,2022-08-08,63242,277400,https://x.com/beffjezos
asquirous,2021-10-20,1037,76,https://x.com/asquirous
eigenron,2017-03-29,8808,14969,https://x.com/eigenron
leothecurious,2024-07-24,12812,6846,https://x.com/leothecurious
max_paperclips,2023-02-25,37188,14184,https://x.com/max_paperclips
iruletheworldmo,2022-08-31,45200,114833,https://x.com/iruletheworldmo
repligate,2021-02-11,52812,67959,https://x.com/repligate
snowclipsed,2017-06-17,12691,6475,https://x.com/snowclipsed
deepfates,2015-08-14,143495,63570,https://x.com/deepfates
willcb,2015-02-27,16411,49115,https://x.com/willcb
Dorialexander,2011-04-03,46840,24313,https://x.com/Dorialexander
ludwigABAP,2011-02-08,34636,47140,https://x.com/ludwigABAP
teortaxesTex,2010-09-18,128795,72598,https://x.com/teortaxesTex
21e8ltd,2020-07-07,7069,12626,https://x.com/21e8ltd
tsotchke,2017-06-04,50521,13636,https://x.com/tsotchke
usgraphics,2022-01-06,12426,66334,https://x.com/usgraphics
SCHIZO_FREQ,2020-03-19,27378,108583,https://x.com/SCHIZO_FREQ
banteg,2010-01-25,29418,228436,https://x.com/banteg
pmarca,2007-05-10,15272,6079517,https://x.com/pmarca
somewheresy,2020-08-11,75505,29228,https://x.com/somewheresy
wordgrammer,2023-11-16,21692,25894,https://x.com/wordgrammer
vitrupo,2021-03-15,5240,37473,https://x.com/vitrupo
signulll,2023-10-26,18406,254751,https://x.com/signulll
___frye,2022-08-01,26040,20772,https://x.com/___frye
skcd42,2022-01-10,2016,38858,https://x.com/skcd42
ESYudkowsky,2014-06-29,34099,233240,https://x.com/ESYudkowsky
webdevMason,2015-07-23,33406,69186,https://x.com/webdevMason
AISafetyMemes,2020-10-12,19459,183956,https://x.com/AISafetyMemes
VictorTaelin,2011-03-26,21765,79444,https://x.com/VictorTaelin
hardmaru,2014-11-10,25896,429858,https://x.com/hardmaru
dwarkesh_sp,2019-12-25,6473,254203,https://x.com/dwarkesh_sp
polynoamial,2017-01-27,1703,163947,https://x.com/polynoamial
fchollet,2009-08-25,25625,719902,https://x.com/fchollet
orphcorp,2009-04-30,22949,20297,https://x.com/orphcorp
poetengineer__,2017-11-05,5656,88590,https://x.com/poetengineer__
i2cjak,2024-05-31,19634,25087,https://x.com/i2cjak
arithmoquine,2023-09-19,17356,22341,https://x.com/arithmoquine
Howlingmutant0,2020-06-07,136567,239940,https://x.com/Howlingmutant0
1thousandfaces_,2023-11-17,29693,10851,https://x.com/1thousandfaces_
snoopy_dot_jpg,2022-09-11,239,3586,https://x.com/snoopy_dot_jpg
N8Programs,2022-09-10,6680,10417,https://x.com/N8Programs
sudoingX,2022-08-05,11546,35156,https://x.com/sudoingX
davikrehalt,2009-04-06,1634,742,https://x.com/davikrehalt
deredleritt3r,2024-01-07,9372,21839,https://x.com/deredleritt3r
SchmidhuberAI,2019-08-20,339,214959,https://x.com/SchmidhuberAI
quasimondo,2007-04-29,43236,57429,https://x.com/quasimondo
strangestloop,2019-08-20,81562,10301,https://x.com/strangestloop
JungleSilicon,2020-09-26,21429,9482,https://x.com/JungleSilicon
deanwball,2009-04-12,13559,72151,https://x.com/deanwball
usr_bin_roygbiv,2025-06-29,27882,6786,https://x.com/usr_bin_roygbiv
TheVixhal,2024-08-29,2385,22835,https://x.com/TheVixhal
owl_posting,2019-03-24,6015,17757,https://x.com/owl_posting
miltonappl3,2023-04-25,32094,4698,https://x.com/miltonappl3
cyanopsis,2024-08-11,4226,833,https://x.com/cyanopsis
itsoksmit,2017-06-03,14646,2174,https://x.com/itsoksmit
exgenesis,2011-06-23,40349,5299,https://x.com/exgenesis
